Braund Mr. Owen Harris,masculino,22,3,NO,S
Cumings Mrs. John Bradley (Florence Briggs Thayer),femenino,38,1,SI,C
Heikkinen Miss. Laina,femenino,26,3,SI,S
Futrelle Mrs. Jacques Heath (Lily May Peel),femenino,35,1,SI,S
Allen Mr. William Henry,masculino,35,3,NO,S
Moran Mr. James,masculino,30,3,NO,Q
McCarthy Mr. Timothy J,masculino,54,1,NO,S
Palsson Master. Gosta Leonard,masculino,2,3,NO,S
Johnson Mrs. Oscar W (Elisabeth Vilhelmina Berg),femenino,27,3,SI,S
Nasser Mrs. Nicholas (Adele Achem),femenino,14,2,SI,C
Sandstrom Miss. Marguerite Rut,femenino,4,3,SI,S
Bonnell Miss. Elizabeth,femenino,58,1,SI,S
Saundercock Mr. William Henry,masculino,20,3,NO,S
Andersson Mr. Anders Johan,masculino,39,3,NO,S
Vestrom Miss. Hulda Amanda Adolfina,femenino,14,3,NO,S
Hewlett Mrs. (Mary D Kingcome) ,femenino,55,2,SI,S
Rice Master. Eugene,masculino,2,3,NO,Q
Williams Mr. Charles Eugene,masculino,30,2,SI,S
Vander Planke Mrs. Julius (Emelia Maria Vandemoortele),femenino,31,3,NO,S
Masselmani Mrs. Fatima,femenino,30,3,SI,C
Fynney Mr. Joseph J,masculino,35,2,NO,S
Beesley Mr. Lawrence,masculino,34,2,SI,S
McGowan Miss. Anna Annie,femenino,15,3,SI,Q
Sloper Mr. William Thompson,masculino,28,1,SI,S
Palsson Miss. Torborg Danira,femenino,8,3,NO,S
Asplund Mrs. Carl Oscar (Selma Augusta Emilia Johansson),femenino,38,3,SI,S
Emir Mr. Farred Chehab,masculino,30,3,NO,C
Fortune Mr. Charles Alexander,masculino,19,1,NO,S
O'Dwyer Miss. Ellen Nellie,femenino,30,3,SI,Q
Todoroff Mr. Lalio,masculino,30,3,NO,S
Uruchurtu Don. Manuel E,masculino,40,1,NO,C
Spencer Mrs. William Augustus (Marie Eugenie),femenino,30,1,SI,C
Glynn Miss. Mary Agatha,femenino,30,3,SI,Q
Wheadon Mr. Edward H,masculino,66,2,NO,S
Meyer Mr. Edgar Joseph,masculino,28,1,NO,C
Holverson Mr. Alexander Oskar,masculino,42,1,NO,S
